epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.83377039929231,6.718330596942927,3.0650873122481377,13.066308462571742
1,5.063405459125836,4.610843823235293,3.101721821956283,13.22505800464037
2,4.903143552442391,4.375617008940584,5.2631578947368425,19.599462693857614
3,4.846083946526051,4.1864904340100475,6.337770179509097,24.61839052387349
4,4.782805609206359,4.102886662231084,5.324215410917084,25.778483331298084
5,4.750880237047871,3.9767845870374483,7.43680547075345,27.720112345829772
6,4.720512059827645,3.9426511935020834,8.767859323482721,28.819147637074124
7,4.692304965108633,3.890370026512859,8.963243375259495,29.820490902430087
8,4.701954924811919,3.8933053965212765,10.660642325070215,31.701062400781534
9,4.661611574391524,3.766173128476727,9.427280498229331,33.22750030528758
10,4.653199245532353,3.8145889980275633,11.124679448040053,31.16375625839541
11,4.649550219997764,3.784778176595446,10.269874221516668,33.15423128587129
12,4.625160655627648,3.6656491041678416,13.7623641470265,37.73354500020463
13,4.625331327940027,3.7105896855786487,14.751495909146415,36.28037611429967
14,4.624037709087133,3.657618102521916,12.748809378434485,36.32922212765147
15,4.587090571721395,3.6179478469240256,15.496397606545365,38.77152277445354
16,4.612327504903078,3.6418368414595736,12.2725607522286,37.367199902715576
17,4.59852771833539,3.6499719552787644,11.857369642202956,35.84076199780193
18,4.590929650391142,3.6383121001704417,15.691781658322139,37.5259494443766
19,4.57296518733104,3.576053994495887,12.736597875198436,39.7484430333374
20,4.572861694420378,3.5456258277343387,17.16937354988399,39.61411649774087
21,4.5684089828282595,3.5438795386107214,15.447551593601172,40.57882525338869
22,4.535572027166684,3.482670949337785,16.705336426914155,42.05641714588221
23,4.532651348039508,3.4551945570872253,16.94956649163512,43.21650995237514
24,4.52075584543248,3.4852931358858203,13.847844669678837,41.58016851874466
25,4.516649321342508,3.416429035712226,17.32812309195262,44.901697398949814
26,4.526499094441533,3.3191761523030268,18.74465746733423,45.52448406561869
27,4.478358851745725,3.351837186444183,17.645622176089876,45.64659909675636
28,4.496305915837486,3.396649205767638,19.074368054707534,43.692758578988624
29,4.504700995360811,3.351715888597398,18.500427402613262,46.74563438840832
30,4.484637553493182,3.306248704393438,19.80705824927804,48.699474910485
31,4.445677359278004,3.2507106363736953,22.334839418732447,49.83514470672095
32,4.4741711268822355,3.1921477371380726,22.90878007082672,51.76456222273314
33,4.469441851601005,3.1875805986686014,22.701184515813896,51.3982171214592
34,4.446500623598695,3.2150194449569733,22.31041641226035,50.128220783978506
35,4.438601224372785,3.100836262247009,23.8124313107019,53.791671762246324
36,4.441097319747011,3.120257516093038,22.493588960801073,52.253022349845914
37,4.42565077667435,3.0986077718237466,25.851752350714374,53.046770059024475
38,4.412440208097299,3.127150155522911,23.910123336182686,53.57186469817456
39,4.419094515964389,3.0553693614144044,24.703871046525826,56.27060691211843
40,4.4014327979336185,2.9685768928264635,28.355110514104286,58.06569789020493
41,4.408807543416818,2.9707409529360476,25.876175358001674,55.61118574069088
42,4.380321246882279,2.9688760366962716,28.40395652745608,57.064354629507285
