epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.831171274185181,6.716341723422163,3.0650873122481377,12.809866894614727
1,5.05968155960242,4.592266481224616,4.481621687629747,14.763707412382464
2,4.878730893135071,4.329972282115728,5.2021003785566,20.258883868604226
3,4.8099741116166115,4.09043135312847,6.459885211869581,25.180119672731713
4,4.746912557631731,4.012044282750866,7.522285993405788,27.109537184027353
5,4.722059474637111,3.996872828315067,9.256319452924656,27.390401758456466
6,4.6993982928494615,3.890766622965146,9.121992917328123,31.05385272927097
7,4.690378415087859,3.900316224311906,9.109781414092074,29.551837831237027
8,4.679341724763314,3.840815835739175,9.45170350470143,31.481255342532666
9,4.678384194150567,3.8490744715485765,10.941506899499329,29.905971425082427
10,4.667128082364798,3.8143763199788863,10.69727683477836,31.884234949322263
11,4.66503802438577,3.7270423073604992,12.174868726340213,36.70777872756136
12,4.64252624164025,3.7677065242499945,10.440835266821345,34.09451703504701
13,4.6492890653510885,3.80328164448274,10.587373305653927,32.86115520820613
14,4.646752120926976,3.6511583878219835,12.687751862254244,37.31835388977138
15,4.653320149208109,3.774326031804012,14.067651727927707,37.1718158505312
16,4.643904386709134,3.6825251861112958,14.751495909146415,37.86787153498596
17,4.628881334016721,3.7057621792597506,12.63890584931005,37.5503724508487
18,4.6187932671358185,3.663254050984897,14.531688850897545,39.36988643301991
19,4.640336598580082,3.703116667606933,11.67419709366223,35.23018683599951
20,4.624195513625939,3.7166880314014437,13.98217120527537,38.6127732323849
21,4.621629083529115,3.6890419292601346,13.945536695567224,36.04835755281475
22,4.603165146584312,3.6908461208206087,12.675540359018195,36.231530101355474
23,4.607646298284332,3.642661243964645,15.337648064476737,39.809500549517644
24,4.601957366491358,3.682096823651445,12.41909879106118,37.86787153539356
25,4.600636875877778,3.580649206352723,13.383807546709,40.810843814873614
26,4.579859937851627,3.5055974448377913,15.76505067773843,43.21650995319035
27,4.587914165109396,3.584883590075891,15.826108193918671,39.05238734888265
28,4.558283561840653,3.5741436719923523,14.78813041885456,39.56527048520428
29,4.553722436229388,3.489052334377975,18.35388936378068,42.190743681012904
30,4.555537693202496,3.5045761754623714,17.267065575772378,42.01978263565
31,4.562913655613859,3.499622645315808,16.973989498107215,42.8257418496368
32,4.535399528220296,3.464869717274092,16.72975943338625,42.89901086823788
33,4.5535590803871555,3.4863364690970933,18.073024789351567,42.813530346400746
34,4.5392093031356735,3.4581482828806167,17.645622176089876,43.008914398177524
