epoch,train_loss,eval_loss,eval_top1,eval_top5
0,12.304040704782192,8.128408280181885,0.0,0.02
1,5.20603130872433,4.490882547914982,4.77,16.46
2,5.0798878990686855,4.122156447601318,8.06,23.03
3,5.0799493961609326,4.3481528854370115,5.32,19.36
4,5.086806144851905,4.394433202743531,3.56,15.3
5,5.102446365814942,4.431272254943847,4.48,17.33
6,5.0661511272192,4.2919347860336305,4.13,18.16
7,5.06062796826546,4.321800856781006,4.82,20.06
8,5.047487023931283,4.356485584640503,3.61,16.44
9,5.005216314242436,4.099656267356872,8.46,27.86
10,4.9982095280518894,4.193455925369262,6.05,22.31
11,4.973428378884609,4.007958726882935,7.15,28.97
12,4.958013128775817,3.8185151985168457,9.47,33.04
13,4.928208286945637,3.89534697933197,8.41,31.85
14,4.931008342366952,3.6770769115447997,11.12,38.63
15,4.919471141237479,3.714815707588196,10.69,36.14
16,4.896584430566201,3.6665410150527955,11.97,37.98
17,4.880582623756849,3.669995725250244,12.34,39.73
18,4.874237862917093,3.7106407613754273,10.05,36.35
19,4.840004967955442,3.4824727750778197,13.89,44.59
20,4.852455026828325,3.415978722381592,14.89,48.46
21,4.82105630177718,3.569830138015747,12.71,41.41
22,4.804650256266961,3.3636454582214355,14.9,47.94
23,4.827567954476063,3.350902554702759,15.13,48.18
24,4.786069158178109,3.4452659816741944,13.97,43.36
25,4.777747947436112,3.2677218893051148,15.52,47.12
26,4.765684571403724,3.189925445985794,19.7,54.37
27,4.767887491446275,3.1615303956508636,17.72,52.85
28,4.742452920056307,3.1283386936187743,19.81,55.28
29,4.769674110297974,3.1697119253158568,19.63,55.72
30,4.747902588202403,3.177090864944458,19.2,53.51
31,4.722736942080351,3.157915464782715,20.43,54.76
32,4.72456647341068,3.07628956489563,22.1,57.0
33,4.716178239538119,3.1933040203094483,20.38,54.4
34,4.70387942229326,3.174967374610901,19.1,53.99
35,4.6872234510687685,3.2014716737747193,19.18,51.77
36,4.685937208624987,2.9049921879768372,23.6,59.74
37,4.701224098985012,3.1422828476905824,19.62,55.8
38,4.677911378443241,2.896568907546997,23.66,62.11
39,4.673049071087287,3.099284892177582,21.38,55.27
40,4.6506570640664835,2.88478551864624,25.86,61.15
41,4.657966565054196,2.9938244920730592,23.75,60.6
42,4.642022818900072,2.908762139034271,25.47,62.58
43,4.651296819058748,2.9345533186912536,25.94,60.46
44,4.646471918775485,2.8190728291034697,24.91,62.84
45,4.619495485837643,2.8674109886169434,26.98,65.39
46,4.607357504849251,2.76284838180542,26.92,65.5
47,4.6050433189823075,2.8678792357444762,25.42,62.38
48,4.600270909758715,2.7244234621047974,28.8,67.09
49,4.580988625494333,2.7466349954605103,27.34,65.39
50,4.612484326156286,2.7395430355072024,29.43,66.59
51,4.579402105166362,2.709338034629822,27.89,66.6
52,4.598859996176683,2.7991607933044436,26.02,63.38
53,4.58204534305976,2.7276626492500307,28.61,65.29
54,4.566675186157227,2.7207944853305817,26.34,65.59
55,4.555230614657585,2.6037698081970215,30.64,68.55
56,4.554516929846543,2.597480184841156,29.28,67.88
57,4.574939753573674,2.668952233505249,30.68,69.85
58,4.547247542784764,2.533348026561737,33.0,71.6
59,4.5563858930881205,2.625643000984192,29.46,65.52
60,4.525920035747381,2.5089999081611634,33.28,71.79
61,4.523075461387634,2.573088168430328,32.47,69.78
62,4.526474963587064,2.4933565184593203,33.5,72.16
63,4.539286443247245,2.542611002445221,33.14,71.61
64,4.5125845326827125,2.5772589375019073,30.53,68.82
65,4.513210696669725,2.466415600299835,35.16,73.25
66,4.495479020361717,2.4693166481018065,35.77,72.73
67,4.4940157653047486,2.423325476884842,35.75,73.6
68,4.521878860317743,2.5027311326026918,35.0,72.81
69,4.496165489921203,2.3944407044887543,37.7,74.85
70,4.4576997350041685,2.4304194553375242,35.9,72.95
71,4.47836493815367,2.5619331944942476,31.22,69.23
72,4.446435633760232,2.4318176849365236,34.56,72.16
73,4.465072692013704,2.386583163356781,37.91,74.2
74,4.417218654201581,2.354193396282196,37.78,76.27
75,4.428058789326594,2.335056678199768,39.63,77.51
76,4.4468917307945395,2.240846933746338,40.78,77.32
77,4.382210510281416,2.315433464384079,38.3,76.05
78,4.430736380700882,2.2514975249290465,39.09,76.56
79,4.4373315796256065,2.31925381155014,38.33,75.22
80,4.388464138484919,2.204909895133972,39.51,77.42
81,4.433200203455412,2.2069925782442095,40.77,78.5
82,4.38139718828293,2.4224924441337587,35.21,71.42
83,4.427185936616017,2.3148681019306183,39.84,77.87
84,4.373660771892621,2.236592265987396,40.48,77.58
85,4.366258737559502,2.176535418510437,42.32,78.35
86,4.359634625223967,2.0933626776218413,43.92,80.82
87,4.380390724310508,2.1548617672920227,40.33,78.78
88,4.337682264355513,2.1256100808143614,43.06,79.92
